Chateau / Entreprise,Website,Email,Confidence,Source,Notes
Domaine Eric Sage,https://payssaintgilles-tourisme.fr/degustation/domaine-eric-sage/,contact@domaine-auzance.fr,LOW,snippet,"From Google snippet, could be third party"
Domaine L'Orée du Sabia,https://www.loreedusabia.com/fr/,contact@loreedusabia.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Vignobles Mercier,https://www.mercier-vins.com/cgv.php,contact@mercier-vins.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Coirier,https://www.domainecoirier.fr/,contact@domainecoirier.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Barbinière,https://www.domainedelabarbiniere.com/,contact@domainedelabarbiniere.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Georges Vernay,https://vin-condrieu.fr/nos-vigneron/domaine-georges-vernay/,contact@vin-condrieu.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Jean-Michel Gerin,https://domaine-gerin.fr/,info@domaine-gerin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Guigal,http://www.guigal.com/fr/detail_actualite.php%3Fid%3D5,contact@guigal.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Pierre Gaillard,https://www.famillepierregaillard.com/,famille@gaillard.vin,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Bernard Gripa,https://www.cavemartiniere.fr/boutique/produit/272-saint-joseph-le-berceau-domaine-bernard-gripa,contact@cavemartiniere.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Alain Graillot,https://www.rhonevignobles.fr/domaines_caves/domaine-alain-graillot/,contact@rhonevignobles.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Alain Voge,https://www.alain-voge.com/en/,contact@alain-voge.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Auguste Clape,https://vcommevin.com/68-auguste-clape?srsltid=AfmBOoqWnPKlxVk_2wYX9xl0OYUFGAKNke15LbEHzU1cfaY6dmhINmgm,contact@vcommevin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Courbis,https://www.vins-courbis-rhone.com/,contact@domaine-courbis.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine François Villard,https://www.vistavin.fr/fr/132_villard-francois,contact@vistavin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Delas Frères,https://www.vinsolite.fr/132-domaine-delas-freres,contact@vinsolite.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Chapoutier,https://www.chapoutier.com/fr/contact/,bpons@chapoutier.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Paul Jaboulet Aîné,https://jaboulet.com/fr/,info@jaboulet.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Jean-Louis Chave,https://jeanlouischave.com/,Not Found,NOT_FOUND,,
Domaine Ferraton Père & Fils,http://www.ferraton.fr/,contact@ferraton.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Gonon,https://www.mrwheelerwine.com/domaine-gonon/?srsltid=AfmBOooKvWF58Cy5Y0hf08rS1uSb2lEc87QaEKDiN4i58JdFqLGKFeLq,hello@mrwheelerwine.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine du Tunnel,https://www.domaine-du-tunnel.fr/,domaine-du-tunnel@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Colombo,https://vinscolombo.fr/vins/,contact@vinscolombo.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine du Coulet,https://domaineducoulet.com/,matthieu.barret@domaineducoulet.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Coursodon,https://www.domaine-coursodon.com/en/,domaine@coursodon.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Belle,http://www.domainebelle.com/,contact@domainebelle.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
